AÑO;MES;TRIMESTRE;ENCARGO;CONTRATO;GRUPO_REMEDY;REF_EXTERNA;ENCARGOS REPETIDOS;AGRUPACION;PROYECTO;TITULO;TIPO OBJETO;OBJETO ENCARGO;PRIORIDAD;DESC. PRIORIDAD;CRITICIDAD;DESC. CRITICIDAD;LOGIN PROVEEDOR;LOGIN CAMBIO;ESTADO;F. INICIO ESTADO;F. REGISTRO;F. ASIGNACIÓN;F. ESTIMADA SOLUCION;F. REQUERIDA VALORACIÓN;F.REQUERIDA DE ENTREGA;F. ENTREGA VALORACION;F. COMPROMISO;F. FIN PREVISTO;F. COMIENZO EJECUCIÓN;F. ENTREGA;F. RESOLUCIÓN ICM;F. ACEPTACIÓN;F. CIERRE;TIEMPO TOTAL;TIEMPO RESOLUCION;APLICACIÓN;MÓDULO FUNCIONAL;MÓDULO TECNICO;HORAS VALORADAS;HORAS COMPROMETIDAS;HORAS REALIZADAS;COSTE;Nº VALORACIONES ACEPTADAS;Nº REPLANIFICACIONES ACEPTADAS;Nº VALORACIONES RECHAZADAS;Nº ENTREGAS RECHAZADAS;INCUMPLIMIENTO;FASE;ENTRA EN ANS;N. DE CAMBIOS DE ESTADO;N. DE SOLICITUDES DE PAUSA;CLAVE ORIGEN CANCELACIÓN;CLAVE MOTIVO CANCELACIÓN;CLAVE SISTEMA INFORMACIÓN;DESC. SISTEMA INFORMACIÓN;CLAVE CONSEJERÍA;CLAVE ÁREA;CLAVE CENTRO;CLAVE ÁMBITO;DESC. ÁMBITO;CRITICIDAD APLICACION;DESC. CRITICIDAD APLICACION;CLAVE NIVEL CRITICIDAD;DESC. NIVEL CRITICIDAD;CLAVE ENTORNO 1;DESC. ENTORNO 1;CLAVE ENTORNO 2;DESC. ENTORNO 2;CLAVE ENTORNO 3;DESC. ENTORNO 3;CLAVE ENTORNO 4;DESC. ENTORNO 4;CLAVE ENTORNO 5;DESC. ENTORNO 5;TIPO SOLUCION;SOLUCION USUARIO;SOLUCION TECNICA;OPERACIONAL 1;OPERACIONAL 2;OPERACIONAL 3;F. EXPORTACIÓN
2019;4;2;993494;1099;GA.RRHH_SAN;;0;40703;;IMP-AP: ELABORACIÓN PLAN DE IMPLANTACIÓN ;PLA;EPV;M;Media;;;;JLUIS;CRR;03/04/2019 14:57;22/03/2019 12:07;27/03/2019 12:51;;29/03/2019 0:00;05/04/2019 0:00;28/03/2019 18:35;04/04/2019 0:00;04/04/2019 0:00;02/04/2019 14:41;02/04/2019 17:48;03/04/2019 14:57;03/04/2019 14:57;03/04/2019 14:57;4.21;0;;;M4-001;100.0;100.0;85.0;3659.0;;0.0;0;0.0;0;F3;1;6;0;;;;;;;;;;;;;;;;;;;;;;;;SOLUCIONADO;Se adjunta plan de implantación de GAP para su revisión. El documento MAGMA_PLA _GAP_Plan_de_implantacion v1.1, es el documento principal y el resto son llamados desde éste.;Se adjunta archivo plan de implantación GAP V.0.rar;NUEVA FUNCIONALIDAD;NUEVA FUNCIONALIDAD;NUEVA FUNCIONALIDAD;07/04/2019 7:05
2019;4;2;994508;1099;GA.RRHH_SAN;;0;40817;;IMP-HCR: ELABORACIÓN PLAN DE IMPLANTACIÓN;PLA;EPV;M;Media;;;;MGI8;PVE;03/04/2019 19:21;27/03/2019 14:09;27/03/2019 14:10;;29/03/2019 0:00;05/04/2019 0:00;28/03/2019 18:50;04/04/2019 0:00;04/04/2019 0:00;02/04/2019 16:53;03/04/2019 19:21;;;;5.22;0;;;M4-001;100.0;100.0;0.0;3659.0;;0.0;0;0.0;0;;1;4;0;;;;;;;;;;;;;;;;;;;;;;;;;Se entrega el Plan de implantación de PN en H. Cruz Roja para su revisión;Se entrega el Plan de implantación de PN en H. Cruz Roja para su revisión;NUEVA FUNCIONALIDAD;NUEVA FUNCIONALIDAD;NUEVA FUNCIONALIDAD;07/04/2019 7:05
2019;4;2;995257;1099;GA.RRHH_SAN;13-3446505;1;;;DESPUÉS DE VER EL FALLO DEL MES DE MARZO SE HAN PUESTO A COTEJAR EL RESTO DE LOS MESES Y HAN DETECT;NPL;COR;;;0;0 - Normal;;JLUIS;CAN;01/04/2019 8:42;01/04/2019 8:31;01/04/2019 8:41;01/04/2019 8:40;;;;;;01/04/2019 8:41;;;;01/04/2019 8:42;0.0;;;;M4-001;0.0;;0.0;0.0;;0.0;0;0.0;0;F3;1;2;0;O5;M6;;;;;;;;;;;;;;;;;;;;;;;cancelada;;;;;07/04/2019 7:05
2019;4;2;995265;1099;GA.RRHH_SAN;13-3448318;1;;;CONSULTAN QUÉ ESTÁ OCURRIENDO CON LA APLICACIÓN QUE LES DEJA BLOQUEADOS CONSTANTEMENTE Y NO LES PER;NPL;COR;;;0;0 - Normal;;JLUIS;CAN;01/04/2019 12:36;01/04/2019 8:31;01/04/2019 8:40;01/04/2019 8:40;;;;;;01/04/2019 8:40;;;;01/04/2019 12:36;0.16;;;;M4-001;0.0;;0.0;0.0;;0.0;0;0.0;0;F3;1;3;1;O4;M33;;;;;;;;;;;;;;;;;;;;;;;obsoleto;;;;;07/04/2019 7:05
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
